timestamp_utc,image_id,image_path,verdict
2026-07-19T22:30:49.671661+00:00,cxidb009_0149,data/images/cxidb009_0149.npy,remove
2026-07-19T22:31:01.703548+00:00,cxidb013_0009,data/images/cxidb013_0009.npy,keep
2026-07-19T22:31:07.661399+00:00,cxidb016_0154,data/images/cxidb016_0154.npy,keep
2026-07-19T22:31:14.421069+00:00,cxidb057_0042,data/images/cxidb057_0042.npy,keep
2026-07-19T22:31:21.773437+00:00,cxidb016_0075,data/images/cxidb016_0075.npy,keep
2026-07-19T22:31:31.211429+00:00,cxidb020_0245,data/images/cxidb020_0245.npy,keep
2026-07-19T22:31:38.309224+00:00,cxidb009_0246,data/images/cxidb009_0246.npy,remove
2026-07-19T22:31:44.533695+00:00,cxidb009_0151,data/images/cxidb009_0151.npy,keep
2026-07-19T22:31:52.547701+00:00,cxidb016_0152,data/images/cxidb016_0152.npy,keep
2026-07-19T22:31:59.021036+00:00,cxidb009_0118,data/images/cxidb009_0118.npy,remove
2026-07-19T22:32:06.558900+00:00,cxidb020_0183,data/images/cxidb020_0183.npy,keep
2026-07-19T22:32:12.846605+00:00,cxidb009_0019,data/images/cxidb009_0019.npy,remove
2026-07-19T22:32:22.609970+00:00,cxidb020_0015,data/images/cxidb020_0015.npy,remove
2026-07-19T22:32:32.031383+00:00,cxidb016_0184,data/images/cxidb016_0184.npy,keep
2026-07-19T22:32:40.274451+00:00,cxidb020_0168,data/images/cxidb020_0168.npy,remove
2026-07-19T22:32:45.547550+00:00,cxidb009_0107,data/images/cxidb009_0107.npy,remove
2026-07-19T22:32:54.428017+00:00,cxidb016_0161,data/images/cxidb016_0161.npy,remove
2026-07-19T22:32:59.666778+00:00,cxidb009_0375,data/images/cxidb009_0375.npy,remove
